93 7  126 RIO GRANDE RISE, SOUTH ATLANTIC OCEAN                                 
 -30.9533  -30.6304 2
 -30.9336  -30.6464 2
 -30.8685  -30.6990 2
 -30.8291  -30.7059 2
 -30.7580  -30.6898 2
 -30.6968  -30.6761 2
 -30.6315  -30.6464 2
 -30.5801  -30.6372 2
 -30.5227  -30.6281 2
 -30.5029  -30.6304 2
 -30.4593  -30.6372 2
 -30.4137  -30.6418 2
 -30.3443  -30.6189 2
 -30.2570  -30.5824 2
 -30.1994  -30.5709 2
 -30.1358  -30.5641 2
 -30.0901  -30.5686 2
 -30.0483  -30.6510 2
 -30.0344  -30.7447 2
 -30.0204  -30.8339 2
 -30.0085  -30.9140 2
 -30.0065  -31.0306 2
 -30.0085  -31.1038 2
 -30.0085  -31.1838 2
 -30.0025  -31.2753 2
 -29.9906  -31.3691 2
 -29.9806  -31.4514 2
 -30.0005  -31.5635 2
 -29.9647  -31.5955 2
 -29.9288  -31.6321 2
 -29.8870  -31.6847 2
 -29.8531  -31.7510 2
 -29.7853  -31.8242 2
 -29.7414  -31.8722 2
 -29.6775  -31.8905 2
 -29.6356  -31.9111 2
 -29.5956  -31.9431 2
 -29.5656  -32.0072 2
 -29.5496  -32.0826 2
 -29.5416  -32.1375 2
 -29.5456  -32.2244 2
 -29.5616  -32.2427 2
 -29.6216  -32.2542 2
 -29.7115  -32.2679 2
 -29.7953  -32.2907 2
 -29.9009  -32.2793 2
 -30.0085  -32.2747 2
 -30.0761  -32.2702 2
 -30.1438  -32.2702 2
 -30.2828  -32.2267 2
 -30.3701  -32.1901 2
 -30.4415  -32.1512 2
 -30.4870  -32.1169 2
 -30.5623  -32.0643 2
 -30.6434  -32.0117 2
 -30.7343  -31.9614 2
 -30.8133  -31.9271 2
 -30.8764  -31.9020 2
 -30.9494  -31.8676 2
 -31.0144  -31.8356 2
 -31.0912  -31.7876 2
 -31.1699  -31.7396 2
 -31.2289  -31.6915 2
 -31.2937  -31.6367 2
 -31.3428  -31.6001 2
 -31.4311  -31.5475 2
 -31.4821  -31.5200 2
 -31.5448  -31.5063 2
 -31.5996  -31.4994 2
 -31.6779  -31.4972 2
 -31.7228  -31.5154 2
 -31.7678  -31.5589 2
 -31.8303  -31.6184 2
 -31.8908  -31.6755 2
 -31.9454  -31.7350 2
 -31.9922  -31.8585 2
 -32.0779  -32.0117 2
 -32.0993  -32.1352 2
 -32.1538  -32.1970 2
 -32.1830  -32.2633 2
 -32.2336  -32.3113 2
 -32.2763  -32.3822 2
 -32.3093  -32.4463 2
 -32.3559  -32.5034 2
 -32.4083  -32.5743 2
 -32.4433  -32.6407 2
 -32.4898  -32.7504 2
 -32.5053  -32.8419 2
 -32.5189  -32.9311 2
 -32.5557  -33.0134 2
 -32.5944  -33.0912 2
 -32.6350  -33.2353 2
 -32.6699  -33.3336 2
 -32.6834  -33.4091 2
 -32.7105  -33.4731 2
 -32.7163  -33.6126 2
 -32.7549  -33.6812 2
 -32.8110  -33.7270 2
 -32.8612  -33.7659 2
 -32.9248  -33.8230 2
 -32.9596  -33.8916 2
 -32.9827  -33.9305 2
 -33.0174  -34.0083 2
 -33.0501  -34.0906 2
 -33.0771  -34.1752 2
 -33.0944  -34.2484 2
 -33.1060  -34.3468 2
 -33.1368  -34.4131 2
 -33.1945  -34.4931 2
 -33.2214  -34.5686 2
 -33.2444  -34.6601 2
 -33.2733  -34.7310 2
 -33.2944  -34.7767 2
 -33.3309  -34.8247 2
 -33.3616  -34.8476 2
 -33.4153  -34.8499 2
 -33.4671  -34.8613 2
 -33.5341  -34.8705 2
 -33.6356  -34.9071 2
 -33.6834  -34.9414 2
 -33.7579  -34.9963 2
 -33.7885  -35.0672 2
 -33.7904  -35.1198 2
 -33.7885  -35.2959 2
 -33.8000  -35.4376 2
 -33.7770  -35.5360 2
 -33.7350  -35.6595 2
 -33.7159  -35.7555 2
 -33.6987  -35.8104 2
 -33.6796  -35.9065 2
 -33.6203  -36.0529 2
 -33.5724  -36.1558 2
 -33.5169  -36.2564 2
 -33.4862  -36.3616 2
 -33.4441  -36.4645 2
 -33.3769  -36.5263 2
 -33.2982  -36.5743 2
 -33.2483  -36.6452 2
 -33.2156  -36.6863 2
 -33.1618  -36.7229 2
 -33.0944  -36.7893 2
 -33.0097  -36.8647 2
 -32.9518  -36.9013 2
 -32.9287  -36.9745 2
 -32.8882  -37.0134 2
 -32.8226  -37.0203 2
 -32.7395  -37.0568 2
 -32.6679  -37.0866 2
 -32.6079  -37.1232 2
 -32.5460  -37.1552 2
 -32.4917  -37.1758 2
 -32.4355  -37.1964 2
 -32.3598  -37.2352 2
 -32.2957  -37.2490 2
 -32.2005  -37.3016 2
 -32.1694  -37.3130 2
 -32.1266  -37.3450 2
 -32.0799  -37.3770 2
 -32.0156  -37.4250 2
 -31.9610  -37.4548 2
 -31.9083  -37.5257 2
 -31.8966  -37.5851 2
 -31.8771  -37.6355 2
 -31.8674  -37.6949 2
 -31.8693  -37.7727 2
 -31.8674  -37.8710 2
 -31.8927  -37.9373 2
 -31.9220  -37.9694 2
 -32.0253  -38.0014 2
 -32.1052  -38.0220 2
 -32.1635  -38.0471 2
 -32.2899  -38.0746 2
 -32.3598  -38.1157 2
 -32.4355  -38.1455 2
 -32.4956  -38.1592 2
 -32.5382  -38.2141 2
 -32.5963  -38.2667 2
 -32.6370  -38.3330 2
 -32.6602  -38.4359 2
 -32.6350  -38.4656 2
 -32.6041  -38.5274 2
 -32.5576  -38.5777 2
 -32.4917  -38.6189 2
